Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
Product Class Recommendation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* Can adjust only value column *,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DC Code,DC Name,Article Number,Article Name,Article Vendor Name,Selling Unit,Item Flag,SCGH Item Status,SCGH DC Item Flag,DC Stock,Show & Stock (By Branch),Product Class (Previous Version),Product Class (QTY),Product Class (Value),Product Class (Recommendation) *
8910,DC Korat 01,108149,CA 001 ประเก็นแว๊กกันกลิ่น,,EA,Standard,Ready,,DC STOCK,N,B,C,A,B
8910,DC Korat 01,1081808,CT697Z2PW(HM)ตะแกรงไม่กันกลิ่น 2-3 นิ้ว,,SET,Standard,Ready,,DC STOCK,N,C,C,C,B
8910,DC Korat 01,1081501,TS404NSK ฟลัชวาล์วโถสุขภัณฑ์ท่อตรง,,SET,Standard,Ready,,DC STOCK,N,B,C,C,B
8910,DC Korat 01,1081401,SHOWER SET A-6110-978-902+A-0572-310B,,SET,Standard,Ready,,,N,A,C,C,B
8910,DC Korat 01,1108175,ตะแกรงSTบานดึง16นิ้ว 495.35.071 450มม.,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1108168,ตะแกรงตู้แคบST 495.35.315 20ซม.,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1108184,ตะแกรงSTบานเปิด16นิ้ว495.35.077 450มม,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,A,A,A
8910,DC Korat 01,1108167,ตะแกรงตู้แคบเหล็ก 495.35.312 15ซม.,,SET,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,C
8910,DC Korat 01,1108195,ตะแกรงเข้ามุมSTบานเปิด 495.35.303 900มม,,SET,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,C
8910,DC Korat 01,1108173,ตะแกรงเอนกประสงค์ ST 495.35.299 300มม.,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,1108172,ตะแกรงตู้แคบST 495.35.314 15ซม.,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,C
8910,DC Korat 01,108112,เต้ารับคู่3ขา+สวิทซ์ควบคุม รุ่น W816UV2S,,EA,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,A
8910,DC Korat 01,1081219,BL โคมสปอตไลท์แบบแป้น BETA 120W,,EA,Standard,Ready,,DC FLOW THROUGH,N,A,A,A,C
